Item,Minimum report,Common failure if omitted,LEMPA lesson
Atlas provenance,"Name the organ-matched atlas annotation version pathway definitions and any population skew that affects interpretation",Atlas claims appear stronger or more general than the underlying reference supports,"The lung atlas layer was strongest when framed as an adult-skewed normal-lung resource not as a universal lifespan map"
Paired cohort lineage,"Report source cohort counts exclusions final paired N and one-to-one linkage rules",Readers cannot tell whether the predictive benchmark used a real paired cohort or a drifting subset,"LEMPA needed exact counts from 211 source imaging cases to 130 paired patients to keep the benchmark interpretable"
Predictor and target definitions,"List imaging predictors transcriptomic targets covariates and whether each endpoint was preregistered or fallback-derived",Residual associations may be mistaken for original primary endpoints,"H4b became high-risk because its V2 target depended on module collapse rather than the original V1 heterogeneity construct"
Deconvolution agreement audit,Show at least one cross-method agreement summary before downstream prediction,"Weak targets are treated as ground truth and downstream failures are misattributed","V2-G2 failure showed that target instability can invalidate the intended cell-type validation surface before modeling"
Fallback rules,"Declare in advance when targets will be collapsed analyses skipped or a line archived",Post hoc salvage steps can be misread as planned optimization,"Module collapse to epithelial immune endothelial and stromal was only interpretable because the fallback was explicit"
Primary predictive gate,"State the exact performance metric threshold and success rule before showing results",Negative outcomes are softened into trends or selective examples,"V1 remained negative because the binding rule was >=10 cell types at r >= 0.30 not a best-cell-type narrative"
Held-out robustness surface,"Report whether site batch histology or external-cohort splits were feasible and what happened if they were not",Internal performance is overgeneralized as transportable validation,"V2-G5 had to stay SKIPPED because frozen local strata could not support a real held-out test"
Null and secondary hypothesis handling,"Report nulls alongside positive-looking remainders and state whether multiple-testing correction was used",Significant leftovers can overshadow the actual negative main result,"H4a and H4c stayed null which prevented H4b from being presented as broad biologic confirmation"
Figure and table provenance,Map each display item to exact frozen inputs and generation logic,Visual summaries become harder to audit than the text,"The BIB package needed an explicit figure/table plan so the practitioner story stayed evidence-linked"
Environment and method-stack caveats,"Report software constraints scoring substitutions and whether the executed stack differs from the ideal stack",Readers assume a reproducibility grade that the run did not actually meet,"LEMPA had to state that pathway scoring used gseapy.ssgsea rather than canonical GSVA in the local environment"
External replication status,Say explicitly whether an independent paired cohort existed and whether replication was achieved,Stress-test results are mistaken for validated transportable models,"No external paired cohort meant the broad line had to be archived rather than promoted"
Reopening criteria,If a line is deferred state what future evidence would justify reopening it,Failed programs linger as implicit future promises,"Phase C remained dormant until trigger-grade paired resources or reproducibility-grade method restoration become available"
